DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2016-08,-0.1,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2016-09,0.7,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2016-10,1.1,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2016-11,1.1,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2016-12,1.8,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-01,2.4,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-02,2.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-03,2.7,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-04,2.3,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-05,2.1,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-06,2.0,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-07,2.2,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-08,2.7,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-09,2.5,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-10,2.2,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-11,2.6,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2017-12,2.2,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2018-01,2.1,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2018-02,1.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2018-03,2.0,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2018-04,2.4,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2018-05,2.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2018-06,3.2,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2018-07,3.4,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2018-08,3.4,,
